"","x1","x2","x3","x4","x5","x6","x7","x8","y"
"1",2,"j",0.0976371366996318,"g","aut","2023-06-2141414141",0.379575335420668,0.045502912485972,0.495154915822583
"2",3,"o",0.112805615179241,"u","eu
fugiat","2022-03-3041414141",0.201926164096221,0.929379975423217,1.52435545038316
"3",2,"x",0.610299281543121,"q","eum","2022-07-1741414141",0.22236686735414,0.66293355403468,1.26867543235184
"4",4,"g",0.906282810028642,"w","beatae
vitae","2022-11-1941414141",,0.505562365287915,-0.313168422910068
"5",4,"c",0.77724161115475,"o","amet,","2022-10-2641414141",,0.961816953960806,-1.28750017373799
"6",1,"d",0.468707878608257,"w","voluptate","2024-05-2641414141",0.463808485306799,0.627583587775007,1.42758481470747
"7",3,"o",0.952589562395588,"l","laboris","2024-06-1741414141",0.297968829516321,0.00644853035919368,-0.377734047778959
"8",4,"m",0.880352648207918,"o","est,","2023-09-1641414141",0.346654656575993,0.128249250119552,-1.28447250794835
"9",3,"n",0.0731389294378459,"g","modi","2023-02-2441414141",,0.892074478790164,0.130672165001138
"10",2,"s",0.876754592638463,"x","eos","2023-01-2441414141",0.27913869637996,0.798309458419681,0.765073390491407
"11",4,"n",0.922932517481968,"e","beatae
vitae","2024-06-1541414141",,0.770532349823043,-1.99357506035799
"12",2,"a",0.924093919340521,"t","fugiat","2022-10-2041414141",0.0568797781597823,0.207251145737246,0.0878509650877428
"13",3,"f",0.152896111132577,"r","sit","2024-01-1441414141",0.123920776182786,0.800623235991225,1.82983480169911
"14",3,"q",0.0509482896886766,"p","numquam","2022-09-0541414141",0.39725886285305,0.124358842847869,0.706775614413553
"15",1,"x",0.425906577846035,"b","amet,","2023-05-2741414141",,0.569510045228526,-0.935826190478441
"16",4,"c",0.0107669525314122,"l","consequatur?","2024-07-3041414141",0.499282091390342,0.910564118996263,1.51603241181442
"17",2,"c",0.112935273442417,"e","ea
commodi","2022-07-2741414141",0.334369375370443,0.848833373747766,1.60251252866528
"18",1,"a",0.501868908060715,"l","quia","2023-03-2741414141",,0.0569995867554098,-0.812165698613321
"19",2,"q",0.936813063453883,"c","magnam","2023-04-0841414141",,0.50917084258981,-2.54363548512225
"20",4,"r",0.0919046434573829,"s","dolore","2023-11-2041414141",0.233828464755788,0.1156675608363,1.25160547602451
"21",4,"i",0.55552877811715,"p","exercitationem","2022-05-2441414141",0.39691637060605,0.678218255285174,0.145856549885193
"22",3,"n",0.781850944738835,"i","et","2024-03-3041414141",0.28528801468201,0.649431779049337,0.0547253896802944
"23",3,"o",0.482965059578419,"n","tempora","2022-03-1141414141",,0.854030627990142,-0.444845046140633
"24",5,"p",0.675679812673479,"m","ullam","2024-02-1741414141",0.308645185548812,0.399989975383505,-0.941689766039938
"25",3,"m",0.668886284343898,"x","","2024-12-2741414141",,0.137540295254439,-2.82200285886087
"26",3,"y",0.539758990053087,"s","ex","2024-07-0541414141",0.0386326729785651,0.588738036341965,0.279104471374859
"27",3,"q",0.997855806723237,"c","ab","2024-08-2541414141",0.106295740464702,0.522952595725656,0.0698827394062773
"28",3,"i",0.482804042985663,"f","in","2022-07-1741414141",0.426757341250777,0.0418682009913027,1.55205330521736
"29",2,"i",0.255759585415944,"u","magni","2022-08-2941414141",,0.313001342583448,-1.41630797065246
"30",1,"h",0.737126480322331,"z","natus","2023-01-1441414141",,0.378663535229862,-2.07704688564308
